,Ram,Weight,Price,Gaming,Netbook,Notebook,Ultrabook,Workstation,Intel,Nvidia,Mac,Windows
65,16,1.8,11.56792715475193,0,0,0,1,0,0,1,0,1
66,4,1.86,10.059354039524033,0,0,1,0,0,0,0,0,1
67,4,1.44,9.409283029786373,0,0,1,0,0,1,0,0,1
68,4,1.9,10.283659467741664,0,0,1,0,0,1,0,0,1
69,12,3.0,10.83096982484206,1,0,0,0,0,0,1,0,0
70,4,1.252,10.968576149165091,0,0,0,1,0,1,0,0,1
71,8,1.4,10.837272366712863,0,0,0,1,0,0,0,0,1
72,8,2.2,10.744054237880762,0,0,1,0,0,0,0,0,1
73,8,2.7,10.974070668482735,1,0,0,0,0,0,1,0,1
74,8,2.1,9.93914036985058,0,0,1,0,0,1,0,0,1
75,8,2.2,10.83096982484206,1,0,0,0,0,0,1,0,1
76,8,2.2,10.227464909398025,0,0,1,0,0,1,0,0,0
77,8,2.02,10.726662495168894,0,0,1,0,0,1,0,0,1
78,4,2.2,10.2484380327783,0,0,1,0,0,0,1,0,1
79,8,2.5,10.860047678274915,0,0,1,0,0,0,1,0,1
80,8,1.88,10.975129468486722,0,0,0,1,0,1,0,0,1
81,8,0.92,11.295425956041104,0,0,0,1,0,1,0,1,0
82,8,1.63,10.732493415479688,0,0,1,0,0,1,0,0,1
83,4,2.2,9.964522443121997,0,0,1,0,0,0,0,0,1
84,4,2.1,9.954446791133256,0,0,1,0,0,0,0,0,1
85,16,2.65,11.18267988243989,1,0,0,0,0,0,1,0,1
86,8,1.83,10.525211768465944,0,0,0,1,0,0,1,0,1
87,8,1.96,10.370805929717411,0,0,1,0,0,1,0,0,1
88,16,2.2,11.254189968552817,1,0,0,0,0,0,1,0,1
89,8,1.21,11.383485348791732,0,0,0,1,0,1,0,0,1
90,8,2.45,10.525211768465944,1,0,0,0,0,0,0,0,1
91,8,2.2,10.510802297245792,0,0,1,0,0,0,1,0,1
92,16,1.49,11.063134731790107,0,0,1,0,0,1,0,0,1
93,8,2.65,11.061462490597744,1,0,0,0,0,0,1,0,1
94,8,1.25,10.931153634628432,0,0,0,1,0,1,0,0,1
95,8,1.5,10.717261720884188,0,0,0,0,0,1,0,0,1
96,8,2.2,10.37232400089118,0,0,1,0,0,0,0,0,0
97,4,2.2,10.159709917169616,0,0,1,0,0,0,0,0,0
98,6,2.0,10.333403292740233,0,0,1,0,0,0,1,0,1
99,12,2.62,11.105659536357711,1,0,0,0,0,0,1,0,1
100,8,1.91,10.55342238395318,0,0,1,0,0,0,0,0,1
101,4,2.1,9.83063294843456,0,0,1,0,0,0,0,0,1
102,8,2.2,10.447907320733034,0,0,1,0,0,0,0,0,0
103,8,1.38,10.99575173454406,0,0,0,1,0,0,1,0,1
104,8,1.252,11.17598591917709,0,0,0,1,0,1,0,0,1
105,6,1.58,10.46628456073464,0,0,1,0,0,0,1,0,1
106,4,1.85,10.003598553570956,0,0,1,0,0,1,0,0,1
107,8,1.3,11.05978744833005,0,0,0,1,0,0,1,0,1
108,16,2.2,11.144911042902732,1,0,0,0,0,0,1,0,1
109,8,1.58,11.275358392990295,0,0,1,0,0,1,0,0,1
110,16,1.5,11.116014069333293,0,0,0,1,0,0,1,0,1
111,8,1.23,11.204674904025437,0,0,0,1,0,1,0,0,1
112,8,1.37,11.219074000897615,0,0,0,0,0,1,0,0,1
113,4,1.63,10.55758616512496,0,0,1,0,0,1,0,0,1
114,8,1.21,11.37128263483418,0,0,0,1,0,1,0,0,1
115,8,1.26,11.219066852909238,0,0,0,0,0,1,0,0,1
116,8,1.63,10.963974208231726,0,0,1,0,0,1,0,0,1
117,8,2.16,11.005825930702713,0,0,1,0,0,0,1,0,1
118,4,2.0,10.310615277730191,0,0,1,0,0,0,1,0,1
119,8,1.7,10.994857679947176,0,0,1,0,0,0,1,0,1
120,6,2.1,10.147261623643049,0,0,1,0,0,1,0,0,1
121,16,1.8,11.690461589827628,1,0,0,0,0,0,1,0,1
122,8,2.2,10.419692282932576,0,0,1,0,0,0,1,0,0
123,16,2.5,11.123120297421588,0,0,1,0,0,0,1,0,1
124,4,2.1,10.087028365734811,0,0,1,0,0,0,0,0,1
125,4,1.86,9.532389087931673,0,0,1,0,0,1,0,0,0
126,8,1.63,10.675061366393813,0,0,1,0,0,1,0,0,1
127,4,1.65,9.603146168052769,0,0,1,0,0,0,0,0,1
128,16,2.8,11.216927309554451,0,0,1,0,0,0,0,0,1
129,8,2.5,10.808592759018332,0,0,1,0,0,1,0,0,1
130,8,2.36,10.435449831034946,0,0,1,0,0,0,0,0,1
131,4,2.2,10.082583913974387,0,0,1,0,0,0,0,0,1
132,8,1.6,10.760018088869778,0,0,0,1,0,1,0,0,1
133,4,2.2,10.324700017611931,0,0,1,0,0,0,1,0,1
134,8,2.05,10.369151780182763,0,0,1,0,0,1,0,0,1
135,8,1.63,10.87124372398,0,0,1,0,0,1,0,0,1
136,4,1.9,9.506417665734745,0,0,1,0,0,1,0,0,0
137,8,3.0,10.81931097523836,1,0,0,0,0,0,1,0,1
138,4,2.2,10.188167121983652,0,0,1,0,0,0,1,0,0
139,4,1.32,10.525211768465944,0,0,1,0,0,1,0,0,1
140,4,3.0,10.460196261867386,0,0,1,0,0,0,1,0,1
